,publisher,synopsis,language,image,title_long,edition,dimensions,pages,date_published,subjects,authors,title,isbn13,msrp,binding,isbn,isbn10,other_isbns,related
61,Random House,"Pirates have become so much a part of story and legend that is easy to forget they actually existed in the flesh. Their roving lives left behind little in the way of historical record; thus our image of them is derived from a smattering of fact overlaid with three centuries of ballads, plays, epic poems, and films. But how does our conception of pirates compare with the reality, and why has such a romantic aura become associated with murderers and thieves? Pursuing that question, Dr. David Cordingly, former head of exhibitions at England's National Maritime Museum, has mined a wealth of original sources - eyewitness accounts, court documents, national archives, and more - to create the most authoritative and definitive account of the great age of piracy since the 1724 bestseller The General History of the Robberies and Murders of the most notorious Pyrates. Under the Black Flag explodes many closely held myths and replaces them with a truth that is more complex and every bit as fascinating. Here are the real stories of Blackbeard, Captain Kidd, and Henry Morgan, along with lesser-known but equally noteworthy pirates such as Henry Avery (who captured an emperor's treasure fleet but died penniless) and the cross-dressing women Anne Bonny and Mary Read. From the havoc of battle to the isolation of life at sea, Under the Black Flag makes tangible the day-to-day existence of pirates. How they attacked, how they governed themselves, what they wore, what ships they used, why they flourished in the years around 1720, and what brought their reign of terror to an end - all is revealed in this rousing and revisionist history.

                        <p>For this rousing, revisionist history, the former head of exhibitions at England's National Maritime Museum has combed original documents and records to produce a most authoritative and definitive account of piracy's ""Golden Age."" As he explodes many accepted myths (i.e. ""walking the plank"" is pure fiction), Cordingly replaces them with a truth that is more complex and often bloodier. of photos. Maps.
</p>",en,https://images.isbndb.com/covers/56/01/9780679425601.jpg,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,1st,"Height: 9.5 Inches, Length: 6.5 Inches, Weight: 1.5 Pounds, Width: 1 Inches",296.0,1996,"['Pirates', 'G535 .C635 1996', '910.4/5']","['Cordingly, David']",Under the Black Flag: The Romance and the Reality of Life Among the Pirates,9780679425601,25,Hardcover,0679425608,0679425608,,
62,Random House,"Shots Rang Out In Savannah's Grandest Mansion In The Misty, Early Morning Hours Of May 2, 1981. Was It Murder Or Self-defense? For Nearly A Decade, The Shooting And Its Aftermath Reverberated Throughout This Hauntingly Beautiful City Of Moss-hung Oaks And Shaded Squares. John Berendt's Sharply Observed, Suspenseful, And Witty Narrative Reads Like A Thoroughly Engrossing Novel, And Yet It Is A Work Of Nonfiction. Berendt Skillfully Interweaves A Hugely Entertaining First-person Account Of Life In This Isolated Remnant Of The Old South With The Unpredictable Twists And Turns Of A Landmark Murder Case. It Is A Spellbinding Story Peopled By A Gallery Of Remarkable Characters: The Well-bred Society Ladies Of The Married Woman's Card Club; The Turbulent Young Redneck Gigolo; The Hapless Recluse Who Owns A Bottle Of Poison So Powerful It Could Kill Every Man, Woman, And Child In Savannah; The Aging And Profane Southern Belle Who Is The Soul Of Pampered Self-absorption; The Uproariously Funny Black Drag Queen; The Acerbic And Arrogant Antiques Dealer; The Sweet-talking, Piano-playing Con Artist; Young Blacks Dancing The Minuet At The Black Debutante Ball; And Minerva, The Voodoo Priestess Who Works Her Magic In The Graveyard At Midnight. These And Other Savannahians Act As A Greek Chorus, With Berendt Revealing The Alliances, Hostilities, And Intrigues That Thrive In A Town Where Everyone Knows Everyone Else. Midnight In The Garden Of Good And Evil: A Savannah Story Is A Sublime And Seductive Reading Experience. Brilliantly Conceived And Masterfully Written, This Enormously Engaging Portrait Of A Most Beguiling Southern City Is Certain To Become A Modern Classic.--book Jacket. An Evening In Mercer House -- Destination Unknown -- The Sentimental Gentleman -- Settling In -- The Inventor -- The Lady Of Six Thousand Songs -- The Grand Empress Of Savannah -- Sweet Georgia Brown's -- A Walking Streak Of Sex -- It Ain't Braggin' If Y'really Done It -- News Flash -- Gunplay -- Checks And Balances -- The Party Of The Year -- Civic Duty -- Trial -- A Hole In The Floor -- Midnight In The Garden Of Good And Evil -- Lafayette Square, We Are Here -- Sonny -- Notes On A Rerun -- The Pod -- Lunch -- Black Minuet -- Talk Of The Town -- Another Story -- Lucky Number -- Glory -- And The Angels Sing. John Berendt.",en,https://images.isbndb.com/covers/92/27/9780679429227.jpg,Midnight in the Garden of Good and Evil,1st,"Height: 9.51 Inches, Length: 5.73 Inches, Weight: 1.45064168396 Pounds, Width: 1.28 Inches",388.0,1994,"['Social life and customs', 'Trials (Murder)', 'Williams, Jim, d. 1990', 'Celebrities', 'Tours', 'Williams, Jim,', 'History', 'Trials, united states', 'Savannah (ga.), history', 'Murder, georgia', 'Georgia, social life and customs', 'Large type books']","['Berendt, John']",Midnight in the Garden of Good and Evil,9780679429227,28,Hardcover,0679429220,0679429220,,
63,Laurel Leaf,,en,https://images.isbndb.com/covers/03/08/9780679810308.jpg,Shabanu: Daughter of the Wind (Border Trilogy (Pb)),Reprint,"Height: 6.75 Inches, Length: 5.25 Inches, Weight: 0.3 Pounds, Width: 0.75 Inches",256.0,1991,,"['Staples, Suzanne Fisher']",Shabanu: Daughter of the Wind (Border Trilogy (Pb)),9780679810308,5.99,Mass Market Paperback,0679810307,0679810307,,
64,Laurel Leaf,"<p><p>the World Of Newbery Honor Book <i>shabanu</i> Is Vividly Re-created In This Novel Of A Young Pakistani Woman's Heartbreaking Struggle Against The Tyranny Of Custom And Ancient Law. Shabanu, Now A Mother At 18, Faces Daily Challenges To Her Position In Her Husband's Household, Even As She Plans For Her Young Daughter's Education And Uncertain Future. Then, During A Visit To The <i>haveli,</i> Their Home In The City Of Lahore, Shabanu Falls In Love With Omar, In Spite Of Traditions That Forbid Their Union.</p><h3>publishers Weekly</h3><p>in A Starred Review, Pw Praised The Eloquent, Unpretentious Language And Intoxicating Blend Of Heart-pounding Adventure And Social Issues Of This Sequel To Shabanu. Ages 12-up. (jan.) Copyright 2004 Reed Business Information.</p>",en,https://images.isbndb.com/covers/56/98/9780679865698.jpg,Haveli,Reprinted Edition,"Height: 6.91 Inches, Length: 4.82 Inches, Weight: 0.4 Pounds, Width: 0.94 Inches",336.0,1995,,"['Staples, Suzanne Fisher']",Haveli,9780679865698,6.99,Mass Market Paperback,0679865691,0679865691,"[{'isbn': '9780375985881', 'binding': 'printisbn'}]",{'ePub': '0375985883'}
65,Scribner,,en,https://images.isbndb.com/covers/38/05/9780684823805.jpg,"Out of the Silent Planet (Space Trilogy, Book 1)",Reprint,"Height: 7 Inches, Length: 4.25 Inches, Weight: 0.19 Pounds, Width: 0.5 Inches",160.0,1996,,"['Lewis, C.S.']","Out of the Silent Planet (Space Trilogy, Book 1)",9780684823805,0.00,Paperback,0684823802,0684823802,,
66,Aladdin,"<p>when The Raging Mississippi Threatens Their Secret Cache Of Hard-earned Nickels And Pennies, Molly Bride And Garrett Wood Risk Their Lives To Retrieve The Money That's Their Escape From The Grinding Poverty Of Their Lives As Sharecroppers.</p>",en,https://images.isbndb.com/covers/11/65/9780689821165.jpg,Flood : Mississippi 1927,1,"Height: 7.625 Inches, Length: 5.125 Inches, Weight: 0.27998707274 Pounds, Width: 0.4 Inches",176.0,1998,,"['Duey, Kathleen', 'Bale, Karen A.', 'Dodge, Bill']",Flood : Mississippi 1927,9780689821165,0.00,Paperback,0689821166,0689821166,,
67,Scribner,,en,https://images.isbndb.com/covers/67/83/9780743226783.jpg,Where You'll Find Me: And Other Stories,,"Height: 8.08 Inches, Length: 5.22 Inches, Weight: 0.53 Pounds, Width: 0.43 Inches",208.0,2002,['Literary Collections'],"['Beattie, Ann']",Where You'll Find Me: And Other Stories,9780743226783,0.00,Paperback,074322678X,074322678X,,
68,Simon & Schuster (Trade Division),,en,https://images.isbndb.com/covers/38/49/9780743403849.jpg,Decipher,,Weight: 0.00220462262 Pounds,624.0,2001,,"['Pavlou, Stel']",Decipher,9780743403849,0.00,Paperback,0743403843,0743403843,,
69,Emblem Editions,,en,https://images.isbndb.com/covers/46/77/9780771074677.jpg,Nights Below Station Street,,"Height: 8.35 Inches, Length: 5.38 Inches, Weight: 0.5 Pounds, Width: 0.54 Inches",225.0,1997,,"['Richards, David Adams']",Nights Below Station Street,9780771074677,0.00,Paperback,0771074670,0771074670,,
70,Ivy Books,"Encompassing Two Generations And A Rich Blend Of Chinese And American History, The Story Of Four Struggling, Strong Women Also Reveals Their Daughters' Memories And Feelings",en,https://images.isbndb.com/covers/63/06/9780804106306.jpg,The Joy Luck Club,1,"Height: 1.01 Inches, Length: 6.87 Inches, Weight: 0.5 Pounds, Width: 4.18 Inches",352.0,1990,"['Chinese American', 'Chinese American women', 'Chinese American women in fiction', 'Chinese Americans', 'Chinese Americans in fiction', 'Death', 'Female friendship', 'Female friendship in fiction', 'Fiction', 'Literature', 'Loss (Psychology)', 'Mothers', 'Mothers and daughters', 'Mothers and daughters in fiction', 'Mothers in fiction', 'Reminiscing in old age', 'Reminiscing in old age in fiction', 'Societies and clubs', 'Women', 'Women in fiction', 'California', 'San Francisco (Calif.)', 'Asian Americans', 'Mother and child', 'Littérature américaine', ""Auteurs d'origine chinoise"", 'open_syllabus_project', 'Reading Level-Grade 11', 'Reading Level-Grade 10', 'Reading Level-Grade 12', 'Fiction, family life', 'Friendship, fiction', 'San francisco (calif.), fiction', 'Mothers and daughters, fiction', 'Chinese americans, fiction', 'Fiction, psychological', 'Large type books', 'Fiction, family life, general', 'Fiction, sagas', 'Fictional Works [Publication Type]', 'FICTION', 'Asian American', 'Literary', 'Sagas', 'Autographed books', 'Ficción', 'Novela hogareña', 'Mujeres chino-americanas', 'Madre e hija', 'Drama', 'Chinese American families', 'Madres e hijas', 'Novela']","['Tan, Amy']",The Joy Luck Club,9780804106306,0.00,Mass Market Paperback,0804106304,0804106304,,
71,Citadel,,en,https://images.isbndb.com/covers/12/13/9780806521213.jpg,Hitler's Secret Bankers: The Myth Of Swiss Neutrality During The Holocau: The Myth of Swiss Neutrality During the Holocaust,"Revised, Updated","Height: 8.75 Inches, Length: 6 Inches, Weight: 1 Pounds, Width: 1 Inches",293.0,2000,"['History', 'Holocaust']",[],Hitler's Secret Bankers: The Myth Of Swiss Neutrality During The Holocau: The Myth of Swiss Neutrality During the Holocaust,9780806521213,15.95,Paperback,080652121X,080652121X,,
72,Tom Doherty Assoc Llc,,en,https://images.isbndb.com/covers/38/74/9780812523874.jpg,Proxies,,"Height: 7 Inches, Length: 4.5 Inches, Weight: 0.5401325419 Pounds, Width: 1.25 Inches",480.0,1999,,"['Mixon, Laura J.']",Proxies,9780812523874,6.99,Paperback,0812523873,0812523873,,
73,Living Books,,en,https://images.isbndb.com/covers/27/04/9780842342704.jpg,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),,"Height: 7 Inches, Length: 4.25 Inches, Weight: 0.4 Pounds, Width: 1 Inches",342.0,1995,,"['LaHaye, Tim', 'Jenkins, Jerry B.']",Left Behind: A Novel of the Earth's Last Days (Left Behind #1),9780842342704,1,Paperback,0842342702,0842342702,,
74,Atlantic Monthly Press,"<p>A rule book for living in a world without rules, Modern Manners is an irreverent guide to anti-etiquette for the '90s and beyond. Pointed advice covers a range of topics from sex to death to reading habits. Also included are the most up-to-date forms of vulgarity and churlishness, as well as the latest fashion in discourtesy and barbarous display.</p>",en,https://images.isbndb.com/covers/37/55/9780871133755.jpg,Modern Manners: An Etiquette Book for Rude People,Reprint,"Height: 8.21 Inches, Length: 5.5 Inches, Weight: 0.80027801106 Pounds, Width: 0.81 Inches",280.0,1994,"['Humor', 'General Reference']","[""P. J. O'Rourke""]",Modern Manners: An Etiquette Book for Rude People,9780871133755,9.49,Paperback,087113375X,087113375X,"[{'isbn': '9780802199065', 'binding': 'print'}]",{'ePub': '0802199062'}
75,House of Anansi Press,Sheila Heti. Short Stories.,en,https://images.isbndb.com/covers/17/43/9780887841743.jpg,The Middle Stories,First Edition,"Height: 8 Inches, Length: 5.5 Inches, Weight: 0.66 Pounds, Width: 0.75 Inches",160.0,2004,,"['Heti, Sheila']",The Middle Stories,9780887841743,19.95,Hardcover,0887841740,0887841740,,
76,Speed Graphics,,en,https://images.isbndb.com/covers/99/49/9780961769949.jpg,Northwest Wines and Wineries,,Weight: 1.65 Pounds,,,,"['Hill, Chuck']",Northwest Wines and Wineries,9780961769949,0.00,Paperback,0961769947,0961769947,,
77,Sunflower Pub Co,"Ten Short Stories Set In India, Dealing With The Unpredictable Effects Of Contact Between Indians And Americans. The Girl On The Beach -- A Dance Among The Ruins -- The Best Way To Play The Nagasvaram -- Coconuts -- Magic Carpet Ride -- The Riches Of The Orient -- An Indian Odyssey -- Air Conditioning -- A Trip To Rampur -- The Reluctant American. By David Iglehart.",en,https://images.isbndb.com/covers/83/13/9780964778313.jpg,An Atmosphere of Eternity: Stories of India,First Edition,Weight: 0.7 Pounds,157.0,2002,"['Americans', 'Americans--India--Fiction', 'Social life and customs', 'PS3609.G58 A86 2002', '813/.6']","['Iglehart, David']",An Atmosphere of Eternity: Stories of India,9780964778313,0.00,Paperback,0964778319,0964778319,,
78,Andrew Scott Pub,"<p><P>When rape and murder strike young, single women on the sun drenched San Diego coast, police are stumped. One of the victims was Dr. Cory Cohen's patient. The trauma triggers flashbacks of Cory's own terrifying rape. Her attacker went free, but she vows this one won't. Armed with psychological expertise, she is determined to uncover his identity. In her relentless pursuit she risks the loss of an important friendship, and worse, places herself squarely into the killer's path. <P><i>Prescription for Terror</i> pits a gutsy psychologist against a dangerous psychopath in a classic battle of good and evil as it explores the mind of a serial killer and exposes an unexpected potential damage of managed care. <P>Sandra Levy Ceren, Ph.D., a practicing clinical psychologist lives in Del Mar, California. <i>Secrets from the Couch</i>, her second novel of the series will be released winter of 2000.</p> <h3>Maryanne Raphael</h3> <p><i>Prescription for Terror</i> is a powerful compelling story with authentic psychological background. Readers won't be able to put it down and will eagerly await the sequel. -- <i>Writers World</i></p>",en,https://images.isbndb.com/covers/61/05/9780966986105.jpg,Prescription for Terror,1st,"Height: 8.75 Inches, Length: 5.75 Inches, Weight: 0.7 Pounds, Width: 0.75 Inches",240.0,1999,,"['Ceren, Sandra Levy', 'Ceren, Sandra Levy']",Prescription for Terror,9780966986105,11.95,Paperback,0966986105,0966986105,,
79,Too Far Pub,"Wild Animus Is A Search For The Primordial, A Test Of Human Foundations And A Journey To The Breaking Point. Rich Shapero. A Duplicate Copy Of This Title Was Part Of The Julio Mario Santo Domingo Collection, But Was Not Retained.",en,https://images.isbndb.com/covers/01/08/9780971880108.jpg,Wild Animus: A Novel,First Edition,"Height: 9.5 Inches, Length: 6.75 Inches, Weight: 1.53441734352 Pounds, Width: 1.25 Inches",315.0,2004,"['Metaphysics', 'Metaphysics--Fiction', 'Spiritual life', 'Spiritual life--Fiction', 'PS3619.H3558 W55 2004']","['Shapero, Rich']",Wild Animus: A Novel,9780971880108,19.95,Paperback,0971880107,0971880107,,
80,Authorhouse,,en,https://images.isbndb.com/covers/50/00/9781414035000.jpg,The Adventures of Drew and Ellie: The Magical Dress,,"Height: 0.19 Inches, Length: 9 Inches, Weight: 0.28880556322 Pounds, Width: 6 Inches",76.0,2003,,"['Noland, Charles']",The Adventures of Drew and Ellie: The Magical Dress,9781414035000,9.95,Hardcover,1414035004,1414035004,,
81,Dh Audio,,en,https://images.isbndb.com/covers/17/72/9781552041772.jpg,Jane Doe,,"Height: 7 Inches, Length: 4.25 Inches, Width: 0.75 Inches",,1999,,"['Kaiser, R. J.']",Jane Doe,9781552041772,7.99,Audio Cassette,1552041778,1552041778,,
82,Rutledge Hill Press,,en,https://images.isbndb.com/covers/10/24/9781558531024.jpg,"Life's Little Instruction Book: 511 suggestions, observations, and reminders on how to live a happy and rewarding life",1991,"Height: 4.5 Inches, Length: 0.5 Inches, Weight: 0.4 Pounds, Width: 6 Inches",160.0,1991,,['H. Jackson Brown Jr.'],"Life's Little Instruction Book: 511 suggestions, observations, and reminders on how to live a happy and rewarding life",9781558531024,0.00,Paperback,1558531025,1558531025,,
83,HCI,,en,https://images.isbndb.com/covers/62/13/9781558746213.jpg,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul),Book Club (BCE/BOMC),"Height: 9 Inches, Length: 6 Inches, Weight: 1.25 Pounds, Width: 1.25 Inches",328.0,1998,,"['Canfield, Jack', 'Hansen, Mark Victor', 'Hawthorne, Jennifer Read', 'Shimoff, Marci']",A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul),9781558746213,24,Hardcover,1558746218,1558746218,,
84,Nova Audio Books,,en,https://images.isbndb.com/covers/77/85/9781567407785.jpg,The Witchfinder (Amos Walker Series),Abridged,"Height: 7.25 Inches, Length: 4.25 Inches, Width: 0.5 Inches",,1998,,"['Estleman, Loren D.']",The Witchfinder (Amos Walker Series),9781567407785,17.95,Audio Cassette,1567407781,1567407781,,
85,"Ashland, OH, U.S.A. : Landoll, 1995",,en,https://images.isbndb.com/covers/12/18/9781569871218.jpg,Black Beauty (Illustrated Classics),,,,1995,,"['Sewell, Anna']",Black Beauty (Illustrated Classics),9781569871218,9.94,Hardcover,1569871213,1569871213,,
86,Kensington,"This eye-opening, well-researched examination of mankind's oldest competitor is filled with weirdly fascinating information about the history of the rat and the way it consistently outsmarts man. Illustrations.",en,https://images.isbndb.com/covers/39/37/9781575663937.jpg,More Cunning Than Man: A Social History of Rats and Man,,"Height: 9.25 Inches, Length: 6 Inches, Weight: 0.7 Pounds, Width: 0.75 Inches",288.0,1999,"['Rats', 'Social Aspects', 'Control', 'History', 'Rats As Carriers Of Disease', 'Rodents', 'Social History']","['Hendrickson, Robert']",More Cunning Than Man: A Social History of Rats and Man,9781575663937,13,Paperback,1575663937,1575663937,,
87,Ryland Peters & Small,"In new vegetarian, innovative young chef Celia Brooks Brown lifts meat-free cooking out of the doldrums and gives it a new lease of life. From quick weekday lunches, snacks, and suppers to sophisticated dinner parties, you'll find a feast of delicious recipes for every occasion. Inspired by the great vegetarian cuisines of Asia and the Middle East, and the healthy Mediterranean diet, new vegetarian is bold, bright, and beautiful.",en,https://images.isbndb.com/covers/15/21/9781841721521.jpg,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,,"Height: 9.5 Inches, Length: 9.25 Inches, Weight: 1.8 Pounds, Width: 1 Inches",144.0,2001,,"['Brown, Celia Brooks']",New Vegetarian: Bold and Beautiful Recipes for Every Occasion,9781841721521,1.99,Hardcover,1841721522,1841721522,,
88,Wordsworth Edition Ltd,,en,https://images.isbndb.com/covers/00/56/9781853260056.jpg,Tess of the D'Urbervilles (Wordsworth Classics),1st,"Height: 7.82 Inches, Length: 5 Inches, Weight: 0.5291094288 Pounds, Width: 0.79 Inches",384.0,1992,,['Thomas Hardy'],Tess of the D'Urbervilles (Wordsworth Classics),9781853260056,3.99,Paperback,1853260053,1853260053,,
89,Wordsworth Editions Ltd,,en,https://images.isbndb.com/covers/24/01/9781853262401.jpg,Heart of Darkness & Other Stories (Wordsworth Classics),Revised ed.,"Height: 7.7 Inches, Length: 4.9 Inches, Weight: 0.33951188348 Pounds, Width: 0.5 Inches",240.0,1998,,['Joseph Conrad'],Heart of Darkness & Other Stories (Wordsworth Classics),9781853262401,4.99,Paperback,1853262404,1853262404,,
90,Cypress House,"<p>so Says J.r. Parrish. Raised In The 1940s In A House On A Dirt Street In Macon, Georgia, He's Living Proof That You Can Succeed Without Having All The Breaks -- As Long As You've Got The Right Attitude, A Burning Desire, And A Commitment To Following Through. By Learning From Other People's Mistakes, And Heeding Two Mentors Whose Counsel He Shares In This Book, J.r. Went From Milkman To Millionaire And Retired In Hawaii At Age Fifty-five. He Did This Without A College Education, And Attributes His Success To Following Good Advice. Parrish Reveals Proven Secrets Of Success In Finance, Business, Investing, Career, Dating, Marriage, School, And Most Importantly, Getting Along With Others -- Employers, Teachers, Coaches, Parents, Grandparents, And Friends. Power-packed, And Easy To Understand And Apply, This No-nonsense Book Is Organized Into Five Lessons For Specific Age Groups, So You Can Get The Best Advice At Exactly The Time In Your Life When You Need It Most.<p> Accepting The Guidance He Shares Here Changed J.r. Parrish's Life. If You'll Take His Advice Literally, Your Life Can Be Changed As Well, Assuring You A Happier, More Successful, And Much More Enjoyable Future. How Many Times Have You Lamented, If Only I Had Known Then What I Know Now? This Book Will Arm You With Knowledge And Help You Learn From Those Who Have Gone Before You. The Wisest Of You Will Want To Learn From The Mistakes Of Others, Eliminating Much Of The Pain And Suffering Inherent In Learning By Personal Experience. Experience Is A Good Teacher, But None Of Us Lives Long Enough To Learn All Our Lessons By This Method Alone. The Best And Least Painful Way To Learn Is From The Experiences Of Others, Which Can Make Your Journey Through Life Less Painful And Much More Rewarding.<p> You Are Precisely Where You Are In Life Today Because Of The Choices You've Made. It's Not Your Circumstances That Determine Your Success Or Happiness, But The Choices You Make In Those Circumstances. Two People Can Experience An Identical Event, Such As A Financial Disaster, And, While One Gives Up And Lives The Rest Of His Or Her Life Miserable And Penniless, The Other Decides To Start Over And Ends Up Having More Than Ever Before. This Suggests That It's Not Our Circumstances, But How We Think About And Choose To Deal With Them, That Determines The Outcome. The Information That Follows Will Guide You To Making Better Choices Throughout Your Life.</p>",en,https://images.isbndb.com/covers/44/91/9781879384491.jpg,If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? You Can't Afford to Make Them All Yourself!,Illustrated,"Height: 8.44 Inches, Length: 5.8 Inches, Weight: 0.45 Pounds, Width: 0.49 Inches",136.0,2003,,"['Parrish, J. R.']",If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? You Can't Afford to Make Them All Yourself!,9781879384491,0.00,Paperback,1879384493,1879384493,,
91,Black Belt Press,"An Extramarital Affair Ends In Tragedy In This Tale Set In The 1930s In Alabama. The Protagonist Is Callie Tatum, The Sexually Unfulfilled Wife Of A Cotton Farmer. Her Romance With An Insurance Man With A Slick Car Leads To Murder. By The Author Of Seventeen Times As High As The Moon. Julia Oliver.",en,https://images.isbndb.com/covers/01/80/9781881320180.jpg,Goodbye to the Buttermilk Sky,1st,"Height: 9 Inches, Length: 5.75 Inches, Weight: 0.6 Pounds, Width: 1 Inches",191.0,1994,,"['Oliver, Julia']",Goodbye to the Buttermilk Sky,9781881320180,18,Paperback,1881320189,1881320189,,
92,Gallimard Education,,fr,https://images.isbndb.com/covers/32/00/9782070423200.jpg,Lieux Dits (Folio 2 Euros) (French Edition),,"Height: 7.00786 Inches, Length: 4.25196 Inches, Weight: 0.22 Pounds, Width: 0.31496 Inches",128.0,2002,,"['Tournier, Professor Michel']",Lieux Dits (Folio 2 Euros) (French Edition),9782070423200,0.00,Pocket Book,2070423204,2070423204,,
93,Lübbe,,de,https://images.isbndb.com/covers/10/34/9783404921034.jpg,Wie Barney es sieht.,,,,2002,,"['Richler, Mordecai']",Wie Barney es sieht.,9783404921034,0.00,Paperback,3404921038,3404921038,,
94,Goldmann,Im China Des Jahres 671 Gelingt Richter Di Die Flucht Vor Der Skrupellosen Kaiserin Wu In Die Hafenstadt Kanton. Doch Auch Dort Ist Er Nicht Sicher.,de,https://images.isbndb.com/covers/38/66/9783442353866.jpg,Der Fluch der Kaiserin. Ein Richter- Di- Roman.,,,507.0,2001,,"['Cooney, Eleanor', 'Altieri, Daniel']",Der Fluch der Kaiserin. Ein Richter- Di- Roman.,9783442353866,0.00,Paperback,3442353866,3442353866,,
95,Goldmann,,de,https://images.isbndb.com/covers/06/68/9783442410668.jpg,Sturmzeit. Roman. (German Edition),,"Height: 7.20471 Inches, Length: 4.56692 Inches, Weight: 1.07 Pounds, Width: 1.5748 Inches",544.0,1991,,"['Link, Charlotte']",Sturmzeit. Roman. (German Edition),9783442410668,0.00,Paperback,3442410665,3442410665,,
96,Goldmann,,de,https://images.isbndb.com/covers/69/33/9783442446933.jpg,Tage der Unschuld.,,,,2000,,"['Patterson, Richard North']",Tage der Unschuld.,9783442446933,0.00,Paperback,3442446937,3442446937,,
97,Minotauro Ediciones Avd,"Este libro es como un relámpago en un cielo claro. Decir que la novela heroica, espléndida, elocuente, desinhibida, ha retornado de pronto en una época de un antirromanticismo casi patológico, sería inadecuado. Para quienes vivimos en esa extraña época, el retorno -y el alivio que nos trae- es sin duda lo más importante. Pero para la historia misma de la novela -una historia que se remonta a la Odisea y a antes de la Odisea- no es un retorno, sino un paso adelante o una revolución: la conquista de un territorio nuevo.",es,https://images.isbndb.com/covers/14/03/9788445071403.jpg,El Señor De Los Anillos: La Comunidad Del Anillo (Lord of the Rings) (Spanish Edition),,"Height: 6.75 Inches, Length: 1.25 Inches, Width: 4.5 Inches",557.0,2002,,"['Tolkien, J. R. R.']",El Señor De Los Anillos: La Comunidad Del Anillo (Lord of the Rings) (Spanish Edition),9788445071403,2.12,Paperback,8445071408,8445071408,,
98,Minotauro Ediciones Avd,"La Compañía se ha disuelto y sus integrantes emprenden caminos separados. Frodo y Sam continúan solos su viaje a lo largo del río Anduin, perseguidos por la sombra misteriosa de un ser extraño que también ambiciona la posesión del Anillo. Mientras, hombres, elfos y enanos se preparan para la batalla final contra las fuerzas del Señor del Mal.",es,https://images.isbndb.com/covers/17/62/9788445071762.jpg,El Senor De Los Anillos II: Las dos Torres (Spanish Edition),Poc,"Height: 6.75 Inches, Length: 4.5 Inches, Width: 1 Inches",464.0,2002,,"['Tolkien, J. R. R.']",El Senor De Los Anillos II: Las dos Torres (Spanish Edition),9788445071762,37,Paperback,8445071769,8445071769,,
99,Distribooks,,es,https://images.isbndb.com/covers/17/79/9788445071779.jpg,"El Senor De Los Anillos, Vol. 3: El Retorno Del Rey (Spanish Edition)",,"Height: 0.88 Inches, Length: 7.14 Inches, Weight: 0.7 Pounds, Width: 4.62 Inches",416.0,2002,,"['Tolkien, J. R. R.']","El Senor De Los Anillos, Vol. 3: El Retorno Del Rey (Spanish Edition)",9788445071779,19.95,Paperback,8445071777,8445071777,,
